2004-NAME-1086135718,41.73320838,-49.94771017,3764.248,"1086135718 framegrab -> 1086135718.tif","NOAA 2004 Dive N"
2004-NAME-1086135722,41.73320674,-49.94770961,3764.662,"1086135722 framegrab -> 1086135722.tif","NOAA 2004 Dive N"
2004-NAME-1086135728,41.73320428,-49.94770876,3765.184,"1086135728 framegrab -> 1086135728.tif","NOAA 2004 Dive N"
2004-NAME-1086135734,41.73320181,-49.94770791,3765.901,"1086135734 framegrab -> 1086135734.tif","NOAA 2004 Dive N"
2004-NAME-1086135750,41.73319524,-49.94770565,3766.351,"1086135750 framegrab -> 1086135750.tif","NOAA 2004 Dive N"
2004-NAME-1086135764,41.73318949,-49.94770368,3764.822,"1086135764 framegrab -> 1086135764.tif","NOAA 2004 Dive N"
2004-NAME-1086135781,41.73318251,-49.94770127,3763.398,"1086135781 Completed ship move 15m E","NOAA 2004 Dive N"
2004-NAME-1086135790,41.73317882,-49.94770000,3762.546,"1086135790 framegrab -> 1086135790.tif","NOAA 2004 Dive N"
2004-NAME-1086135802,41.73317389,-49.94769831,3762.087,"1086135802 framegrab -> 1086135802.tif","NOAA 2004 Dive N"
2004-NAME-1086135808,41.73317143,-49.94769746,3762.070,"1086135808 framegrab -> 1086135808.tif","NOAA 2004 Dive N"
2004-NAME-1086135825,41.73316444,-49.94769506,3760.601,"1086135825 Return to top edge, moving inboard ("reveal" shot)","NOAA 2004 Dive N"
2004-NAME-1086135826,41.73316403,-49.94769492,3760.487,"1086135826 framegrab -> 1086135826.tif","NOAA 2004 Dive N"
2004-NAME-1086135834,41.73316075,-49.94769379,3759.889,"1086135834 framegrab -> 1086135834.tif","NOAA 2004 Dive N"
2004-NAME-1086135846,41.73315582,-49.94769209,3760.366,"1086135846 framegrab -> 1086135846.tif","NOAA 2004 Dive N"
2004-NAME-1086135864,41.73314843,-49.94768955,3759.732,"1086135864 framegrab -> 1086135864.tif","NOAA 2004 Dive N"
2004-NAME-1086135898,41.73313447,-49.94768475,3759.604,"1086135898 framegrab -> 1086135898.tif","NOAA 2004 Dive N"
2004-NAME-1086135972,41.73310408,-49.94767430,3760.613,"1086135972 framegrab -> 1086135972.tif","NOAA 2004 Dive N"
2004-NAME-1086136052,41.73307123,-49.94766300,3759.925,"1086136052 framegrab -> 1086136052.tif","NOAA 2004 Dive N"
2004-NAME-1086136064,41.73306631,-49.94766130,3760.099,"1086136064 framegrab -> 1086136064.tif","NOAA 2004 Dive N"
2004-NAME-1086136066,41.73306548,-49.94766102,3760.149,"1086136066 Currently above promenade, on boat deck","NOAA 2004 Dive N"
2004-NAME-1086136078,41.73306056,-49.94765932,3759.744,"1086136078 framegrab -> 1086136078.tif","NOAA 2004 Dive N"
2004-NAME-1086136088,41.73305645,-49.94765791,3759.367,"1086136088 framegrab -> 1086136088.tif","NOAA 2004 Dive N"
2004-NAME-1086136094,41.73305399,-49.94765706,3759.457,"1086136094 framegrab -> 1086136094.tif","NOAA 2004 Dive N"
2004-NAME-1086136104,41.73304988,-49.94765565,3759.165,"1086136104 framegrab -> 1086136104.tif","NOAA 2004 Dive N"
2004-NAME-1086136116,41.73304495,-49.94765395,3759.581,"1086136116 framegrab -> 1086136116.tif","NOAA 2004 Dive N"
2004-NAME-1086136122,41.73304249,-49.94765311,3759.531,"1086136122 framegrab -> 1086136122.tif","NOAA 2004 Dive N"
2004-NAME-1086136126,41.73304085,-49.94765254,3759.501,"1086136126 framegrab -> 1086136126.tif","NOAA 2004 Dive N"
2004-NAME-1086136132,41.73303838,-49.94765169,3759.442,"1086136132 framegrab -> 1086136132.tif","NOAA 2004 Dive N"
2004-NAME-1086136142,41.73303428,-49.94765028,3759.655,"1086136142 framegrab -> 1086136142.tif","NOAA 2004 Dive N"
2004-NAME-1086136160,41.73302689,-49.94764774,3759.468,"1086136160 framegrab -> 1086136160.tif","NOAA 2004 Dive N"
2004-NAME-1086136172,41.73302196,-49.94764604,3759.200,"1086136172 framegrab -> 1086136172.tif","NOAA 2004 Dive N"
2004-NAME-1086136180,41.73301867,-49.94764491,3758.890,"1086136180 framegrab -> 1086136180.tif","NOAA 2004 Dive N"
2004-NAME-1086136194,41.73301293,-49.94764294,3759.590,"1086136194 framegrab -> 1086136194.tif","NOAA 2004 Dive N"
2004-NAME-1086136271,41.73298131,-49.94763206,3761.363,"1086136271 Hercules feeling tug on tether, moving back and up from wreck","NOAA 2004 Dive N"
2004-NAME-1086136284,41.73297597,-49.94763022,3762.744,"1086136284 framegrab -> 1086136284.tif","NOAA 2004 Dive N"
2004-NAME-1086136294,41.73297186,-49.94762881,3763.603,"1086136294 framegrab -> 1086136294.tif","NOAA 2004 Dive N"
